scale,posX,posY,posZ,pecVX,pecVY,pecVZ,mvir,m200c_all,rvir,rs,vmax,pid,upid,desc_id,mmp,dfid,id,num_prog,lastprog_dfid,sam_mvir
0.3091000020503998,74.1414522169031,76.90687183828614,77.4720734374709,-95.97000122070312,244.02999877929688,114.98999786376953,35404558152.287285,35471613291.61079,105.07375858985014,22.21576575283641,71.88999938964844,-1,-1,442472,1,177934,435947,2,179473,35934285513.33631
0.3052999973297119,74.15844242719508,76.86326798979171,77.45157036335807,-96.9000015258789,243.83999633789062,111.83000183105469,35508865468.63358,35525256182.38712,105.2153190438855,24.44792070930218,70.94000244140625,-1,-1,435947,1,177935,429352,3,179437,35891073354.1946
0.30149999260902405,74.17569411278765,76.81945950845335,77.43106728924526,-96.72000122070312,243.11000061035156,112.12000274658203,35732378530.77038,35748769244.52392,105.48353585982319,26.861869210618526,71.0199966430664,-1,-1,429352,1,177936,422746,2,179361,35642081597.37744
0.29760000109672546,74.19271274430797,76.77553165795604,77.41095074383766,-97.81999969482422,241.75999450683594,111.16999816894531,35642975747.28059,35659366461.03412,105.43436713482295,27.846818246672324,71.12000274658203,-1,-1,422746,1,177937,416103,1,179323,35586647355.08866
0.2937999963760376,74.21023727369244,76.7321551792882,77.39040219575952,-96.36000061035156,239.60000610351562,110.62999725341797,35300253887.64715,35318133834.003876,105.12889577279839,27.31783666086346,71.44999694824219,-1,-1,416103,1,177938,409402,3,179323,35586647355.08866
0.289900004863739,74.22759695995263,76.68855701503944,77.36967743606579,-98.63999938964844,239.02000427246094,108.01000213623047,35061839344.36,35076740825.51035,104.93070886345063,27.690359384749616,71.0999984741211,-1,-1,409402,1,177939,402659,1,179245,35524212498.88243
0.28610000014305115,74.24540570162036,76.64553864384848,77.34936762630558,-99.63999938964844,240.7100067138672,107.29000091552734,34987334990.31441,35003725704.06795,104.89494358972792,26.872299801413373,72.43000030517578,-1,-1,402659,1,177940,395877,2,179245,35524212498.88243
0.2822999954223633,74.2642091862794,76.6022360603743,77.32958076714652,-105.30999755859375,242.4499969482422,105.8499984741211,34868126192.81776,34884516906.5713,104.80554177391247,25.18551695313082,73.05000305175781,-1,-1,395877,1,177941,389018,4,179222,35524212498.88243
0.2784000039100647,74.2840699406321,76.55595493217176,77.30916295671868,-106.7699966430664,234.50999450683594,88.1500015258789,34972433509.164055,35003725704.06795,104.9530593174045,24.66100318441446,73.86000061035156,-1,-1,389018,1,177942,382104,3,179091,35422291616.74862
0.27459999918937683,74.30271426641254,76.51032749222067,77.2893476763313,-98.0,237.97999572753906,99.18000030517578,35344955279.392044,35361345993.145584,105.35836877028503,26.08702126282584,74.8499984741211,-1,-1,382104,1,177943,375166,1,179021,35384740372.52272
